Category,GRN no,Customer/Vendor Code,VendorName,Address,LC No,Posting Date,Item No.,Item Description,Inventory UoM,Quantity,Price,Price USD,Total Amount
Zipper,11433,V000000258,MIM ACCESSORIES,,,2/6/2023,41608,CZ#3 NYLON S/A/L REVERSE RUBBER PULLER,PCS,"63,800.00",2.8,0.03,"2,101.65"
Zipper,2146,V000000258,MIM ACCESSORIES,,,9/2/2021,41605,CZ#5 S/P. A/L  SLIDER REVERSE BLACK RUBBER PULLER.,PCS,"16,000.00",4.3,0.05,809.41
Zipper,4286,V000000258,MIM ACCESSORIES,,,1/27/2022,41608,CZ#3 NYLON S/A/L REVERSE RUBBER PULLER,PCS,"26,000.00",3.1,0.04,948.24
Zipper,11855,V000000258,MIM ACCESSORIES,,,2/27/2023,41608,CZ#3 NYLON S/A/L REVERSE RUBBER PULLER,PCS,"71,000.00",2.8,0.03,"2,338.82"
Button,1075,V000000014,TOPTRANS GROUP HOLDINGS LIMITED,"Room 1502,Shenhua Commercial Building, No.2018 Jiabin Rd.,Luohu Zone",135621020038,5/31/2021,40256,PLASTIC RUBBER SHANK,Gross,"30,000.00",0.094,0.09,"2,820.00"
Button,1075,V000000014,TOPTRANS GROUP HOLDINGS LIMITED,"Room 1502,Shenhua Commercial Building, No.2018 Jiabin Rd.,Luohu Zone",135621020038,5/31/2021,40259,DIAMOND STONE 6 mm,Gross,"2,816.00",0.1,0.1,281.6
Button,1075,V000000014,TOPTRANS GROUP HOLDINGS LIMITED,"Room 1502,Shenhua Commercial Building, No.2018 Jiabin Rd.,Luohu Zone",135621020038,5/31/2021,40199,S.S NORMAL SHANK14mm (China Quality),Gross,"3,000.00",0.34,0.34,"1,020.00"
Button,1075,V000000014,TOPTRANS GROUP HOLDINGS LIMITED,"Room 1502,Shenhua Commercial Building, No.2018 Jiabin Rd.,Luohu Zone",135621020038,5/31/2021,40287,S.S NORMAL SHANK16mm (China Quality),Gross,"2,120.00",0.36,0.36,763.2
Button,1075,V000000014,TOPTRANS GROUP HOLDINGS LIMITED,"Room 1502,Shenhua Commercial Building, No.2018 Jiabin Rd.,Luohu Zone",135621020038,5/31/2021,40254,NORMAL SHANK BUTTON SCREW,Gross,"27,300.00",0.15,0.15,"4,095.00"
Button,1075,V000000014,TOPTRANS GROUP HOLDINGS LIMITED,"Room 1502,Shenhua Commercial Building, No.2018 Jiabin Rd.,Luohu Zone",135621020038,5/31/2021,40200,S.S NORMAL SHANK15mm (China Quality),Gross,"1,100.00",0.35,0.35,385
Zipper,9200,V000000698,MONIR ZIPPER,"Shop No #2/A, Level- 05, Sah Ali Plaza, Mirpur-10, Agargaon, Dhaka-1216.",,10/25/2022,41099,# 5 YG D/L  F.F  YKK LOGO,Pcs,"5,000.00",5,0.06,294.12
Button,965,V000000014,TOPTRANS GROUP HOLDINGS LIMITED,"Room 1502,Shenhua Commercial Building, No.2018 Jiabin Rd.,Luohu Zone",135621020038,5/23/2021,40257,ALLUMINIUM TACKS 9 mm,Gross,"18,200.00",0.125,0.13,"2,275.00"
Button,4369,V000000019,AL-AMIN ACCESSORIES,,,1/31/2022,60857,IRON WIRE 3.5MM,KG,800,87,1.02,818.82
Button,6827,V000000019,AL-AMIN ACCESSORIES,,,7/3/2022,40217,PLASTIC WASHER FOR SNAP BTN POST,Gross,150,4.5,0.05,7.94
Button,11572,V000000019,AL-AMIN ACCESSORIES,,,2/14/2023,40217,PLASTIC WASHER FOR SNAP BTN POST,Gross,260,4,0.05,12.24
Zipper,479,V000000019,AL-AMIN ACCESSORIES,,209721990002,4/3/2021,41608,CZ#3 NYLON S/A/L REVERSE RUBBER PULLER,PCS,"5,000.00",2.65,0.03,155.88
Button,579,V000000019,AL-AMIN ACCESSORIES,,,4/12/2021,40221,PLASTIC WASHER 15 MM FOR EYELET,Gross,900,5,0.06,52.94
Button,1065,V000000019,AL-AMIN ACCESSORIES,,,5/31/2021,40221,PLASTIC WASHER 15 MM FOR EYELET,Gross,"7,800.00",5,0.06,458.82
Chemical,7281,V000000001,FOSHAN EVER RISING TRADING COM.LTD.,,135622020060,8/4/2022,40354,POLISHING AGENT SS ( PO ),KG,77,4.761905,4.76,366.67
Button,3959,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135621020262,1/3/2022,40200,S.S NORMAL SHANK15mm (China Quality),Gross,"9,922.00",0.34,0.34,"3,373.48"
Button,3959,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135621020262,1/3/2022,40199,S.S NORMAL SHANK14mm (China Quality),Gross,"6,500.00",0.33,0.33,"2,145.00"
Button,3959,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135621020262,1/3/2022,40287,S.S NORMAL SHANK16mm (China Quality),Gross,"10,000.00",0.35,0.35,"3,500.00"
Button,3959,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135621020262,1/3/2022,40204,S.S NORMAL SHANK19mm (China Quality),Gross,"9,944.00",0.41,0.41,"4,077.04"
